system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,30,0.03744528815150261,139.39230346679688,2022-11-18,4573.220703125,0,1.0,1.2799999713897705,2022-11-18,2022-11-17,25.903587341308594,273.519287109375,2022-11-19,2.5899999141693115,0.0,2022-11-18,0.3841908872127533,1.0,"{""type"":""Point"",""coordinates"":[90.83449224411714,27.84175363326044]}"
1,10,0.17670142650604248,318.43841552734375,2019-01-01,4090.23388671875,0,1.0,0.0,2019-01-01,2018-12-31,37.649658203125,271.2442626953125,2019-01-02,0.004000000189989805,0.0,2019-01-01,0.3479054868221283,1.0,"{""type"":""Point"",""coordinates"":[93.1436761219901,28.960782633081458]}"
2,40,0.11682609468698502,263.6781005859375,2023-04-28,110.42666625976562,0,7.0,26.779998779296875,2023-04-28,2023-04-27,0.11046673357486725,298.14599609375,2023-04-29,1.059999942779541,2.0833332538604736,2023-04-28,0.440539687871933,2.0,"{""type"":""Point"",""coordinates"":[95.1926464144721,27.275108075955064]}"
3,10,0.3574466109275818,148.0652313232422,2022-11-17,2329.832763671875,0,1.0,0.0,2022-11-17,2022-11-16,30.47477149963379,291.9545593261719,2022-11-18,0.019999999552965164,0.0,2022-11-17,0.31954002380371094,1.0,"{""type"":""Point"",""coordinates"":[97.05943235862067,25.63658677445272]}"
4,40,0.6044303774833679,346.4925842285156,2019-11-06,236.18527221679688,0,2.0,29.35999870300293,2019-11-06,2019-11-05,1.7389320135116577,299.9389953613281,2019-11-07,0.0,0.0,2019-11-06,0.4852027893066406,2.0,"{""type"":""Point"",""coordinates"":[95.79331937744757,21.563107151309364]}"
5,60,-0.016300346702337265,47.06340026855469,2020-02-09,3512.426025390625,0,250.0,0.0,2020-02-09,2020-02-08,19.26352882385254,271.6243896484375,2020-02-10,0.0,0.0,2020-02-09,0.28303781151771545,250.0,"{""type"":""Point"",""coordinates"":[96.08140295081726,29.414775253101617]}"
6,80,-0.13483145833015442,-0.0,2021-12-15,5010.0,0,50.0,0.0,2021-12-15,2021-12-14,0.0,272.04217529296875,2021-12-16,0.0,0.0,2021-12-15,0.17486190795898438,50.0,"{""type"":""Point"",""coordinates"":[90.31737120630963,28.5254746663959]}"
7,40,0.5667162537574768,0.48848527669906616,2019-06-14,103.62206268310547,0,5.0,60.53999710083008,2019-06-14,2019-06-13,0.15478992462158203,302.046142578125,2019-06-15,4.759999752044678,10.416666984558105,2019-06-14,0.4843686521053314,2.0,"{""type"":""Point"",""coordinates"":[95.39951187767886,22.73887672612122]}"
8,10,0.004792447201907635,359.9483947753906,2020-07-16,2363.786376953125,0,20.0,3.940000057220459,2020-07-16,2020-07-15,52.0583610534668,287.68060302734375,2020-07-17,12.529999732971191,14.583333015441895,2020-07-16,0.4261830747127533,1.0,"{""type"":""Point"",""coordinates"":[96.55225845708713,28.445512456937752]}"
9,10,0.269316703081131,297.7543029785156,2020-09-09,2762.871826171875,0,2.0,1.4399999380111694,2020-09-09,2020-09-08,59.519004821777344,288.5345458984375,2020-09-10,5.979999542236328,6.25,2020-09-09,0.3908977508544922,2.0,"{""type"":""Point"",""coordinates"":[97.07605971223694,28.59200698615553]}"
10,10,0.3736567199230194,200.0563507080078,2023-04-26,925.1537475585938,0,3.0,1.2200000286102295,2023-04-26,2023-04-25,28.115644454956055,297.77783203125,2023-04-27,0.0,0.0,2023-04-26,0.2777029573917389,1.0,"{""type"":""Point"",""coordinates"":[96.48400391175845,22.62529873221692]}"
