system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,80,0.137828528881073,-0.0,2021-05-04,4.0,0,3.0,102.54000091552734,2021-05-04,2021-05-03,0.0,302.4225769042969,2021-05-05,3.069999933242798,2.0833332538604736,2021-05-04,0.3462251126766205,3.0,"{""type"":""Point"",""coordinates"":[89.70099070524151,24.154398797373076]}"
1,10,0.08963795751333237,235.81338500976562,2020-05-24,1792.11669921875,0,1.0,0.32999998331069946,2020-05-24,2020-05-23,41.44057846069336,293.871337890625,2020-05-25,13.019999504089355,16.66666603088379,2020-05-24,0.4292691648006439,1.0,"{""type"":""Point"",""coordinates"":[97.21461809652189,26.62169113227114]}"
2,10,0.05406246334314346,226.765869140625,2020-10-12,1173.038818359375,0,1.0,0.0,2020-10-12,2020-10-11,6.61942720413208,295.6407470703125,2020-10-13,2.5399999618530273,4.166666507720947,2020-10-12,0.4898599088191986,1.0,"{""type"":""Point"",""coordinates"":[95.77196361410108,26.361391709576612]}"
3,50,0.09122899174690247,31.003070831298828,2022-10-23,194.64190673828125,0,1.0,0.0,2022-10-23,2022-10-22,3.262134552001953,296.31402587890625,2022-10-24,9.179999351501465,16.66666603088379,2022-10-23,0.4174245297908783,1.0,"{""type"":""Point"",""coordinates"":[96.083640097492,27.460516001067763]}"
4,10,0.6014028191566467,81.74008178710938,2022-01-08,89.80880737304688,0,32.0,0.0,2022-01-08,2022-01-07,1.1787563562393188,291.13641357421875,2022-01-09,0.0,0.0,2022-01-08,0.16333706676959991,1.0,"{""type"":""Point"",""coordinates"":[92.65372560003465,26.801277204641124]}"
5,30,0.07823075354099274,21.42960548400879,2022-08-27,4752.91552734375,0,190.0,0.0,2022-08-27,2022-08-26,18.01740837097168,284.72900390625,2022-08-28,12.010000228881836,14.583333015441895,2022-08-27,0.3968721926212311,190.0,"{""type"":""Point"",""coordinates"":[89.99797677033622,28.6553487774867]}"
6,80,-0.23676835000514984,-0.0,2023-03-08,0.0,0,0.0,0.0,2023-03-08,2023-03-07,0.0,0.0,2023-03-09,0.0,0.0,2023-03-08,0.0,0.0,"{""type"":""Point"",""coordinates"":[91.67377244756085,22.263703155896145]}"
7,80,-0.3874262571334839,-0.0,2019-02-10,0.0,0,0.0,0.0,2019-02-10,2019-02-09,0.0,0.0,2019-02-11,0.0,0.0,2019-02-10,0.0,0.0,"{""type"":""Point"",""coordinates"":[89.80009625869363,21.66451137516403]}"
8,10,0.1277400553226471,9.443984031677246,2021-08-14,235.6301727294922,0,2.0,43.29999923706055,2021-08-14,2021-08-13,16.330692291259766,298.2947998046875,2021-08-15,52.53999710083008,37.5,2021-08-14,0.4280332028865814,2.0,"{""type"":""Point"",""coordinates"":[96.71966966386424,26.54839567315151]}"
9,40,0.0837126299738884,35.6725959777832,2019-06-25,1.5956511497497559,0,1.0,0.0,2019-06-25,2019-06-24,0.30180999636650085,304.1991882324219,2019-06-26,0.0,0.0,2019-06-25,0.45068487524986267,1.0,"{""type"":""Point"",""coordinates"":[88.83925701571087,22.160287050351048]}"
