system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,60,6.953995762160048E-5,14.357251167297363,2022-08-16,5010.126953125,0,2.0,0.7999999523162842,2022-08-16,2022-08-15,4.516263008117676,282.2449951171875,2022-08-17,2.879999876022339,6.25,2022-08-16,0.40783438086509705,2.0,"{""type"":""Point"",""coordinates"":[88.08450213763722,28.093902007709612]}"
1,40,0.054452814161777496,163.66915893554688,2019-07-12,12.088094711303711,0,2.0,78.72000122070312,2019-07-12,2019-07-11,0.4584265351295471,302.0671691894531,2019-07-13,59.56999969482422,37.5,2019-07-12,0.4200979769229889,2.0,"{""type"":""Point"",""coordinates"":[89.0874553790131,24.659549207445266]}"
2,10,0.3864094316959381,93.21629333496094,2021-10-11,326.4469909667969,0,8.0,0.0,2021-10-11,2021-10-10,17.54778480529785,299.1756591796875,2021-10-12,0.0,0.0,2021-10-11,0.4770723879337311,8.0,"{""type"":""Point"",""coordinates"":[96.39539632092715,25.608137746719944]}"
3,30,0.19533056020736694,81.39622497558594,2019-12-29,4699.6005859375,0,1.0,0.0,2019-12-29,2019-12-28,31.56745719909668,270.7369079589844,2019-12-30,0.0,0.0,2019-12-29,0.3389231264591217,1.0,"{""type"":""Point"",""coordinates"":[90.00560175134879,29.311038483383644]}"
4,30,0.03848070651292801,234.0099639892578,2021-09-02,101.05408477783203,0,3.0,12.602999687194824,2021-09-02,2021-09-01,1.504158854484558,301.4055480957031,2021-09-03,0.0,0.0,2021-09-02,0.4530162811279297,1.0,"{""type"":""Point"",""coordinates"":[96.09937494503195,23.555381961208447]}"
5,40,0.17212407290935516,5.628335475921631,2020-12-07,5.288005828857422,0,19.0,0.0,2020-12-07,2020-12-06,0.6939367651939392,295.59832763671875,2020-12-08,0.0,0.0,2020-12-07,0.17211532592773438,19.0,"{""type"":""Point"",""coordinates"":[89.63971599949181,23.66895117204191]}"
6,30,0.016495751217007637,31.386972427368164,2023-05-29,3710.58837890625,0,7679.0,0.0,2023-05-29,2023-05-28,42.68981170654297,282.41070556640625,2023-05-30,0.0,0.0,2023-05-29,0.39805731177330017,7679.0,"{""type"":""Point"",""coordinates"":[92.21120959825856,29.283747988974532]}"
7,30,0.02115562930703163,217.4466552734375,2022-10-17,4658.4970703125,0,40.0,61.709999084472656,2022-10-17,2022-10-16,34.39350128173828,277.13916015625,2022-10-18,2.0799999237060547,0.0,2022-10-17,0.41390037536621094,33.0,"{""type"":""Point"",""coordinates"":[97.0294165050361,29.274791080617774]}"
8,40,0.04711421579122543,299.9707336425781,2019-08-11,3555.129150390625,0,1.0,16.270000457763672,2019-08-11,2019-08-10,0.39071905612945557,290.3173828125,2019-08-12,18.10999870300293,25.0,2019-08-11,0.42130789160728455,1.0,"{""type"":""Point"",""coordinates"":[91.47927328126634,29.26546227811039]}"
9,10,0.17812755703926086,38.23684310913086,2023-05-01,107.73556518554688,0,1.0,6.21999979019165,2023-05-01,2023-04-30,6.927694797515869,297.3349304199219,2023-05-02,9.34000015258789,22.91666603088379,2023-05-01,0.4077371060848236,1.0,"{""type"":""Point"",""coordinates"":[95.04720873896144,27.34141435844032]}"
10,10,0.0017074558418244123,272.8908386230469,2019-11-23,3371.626708984375,0,3.0,0.32999998331069946,2019-11-23,2019-11-22,21.36094856262207,274.0977783203125,2019-11-24,0.14000000059604645,0.0,2019-11-23,0.40593019127845764,3.0,"{""type"":""Point"",""coordinates"":[92.41875848876387,27.573008538708912]}"
11,10,0.12245562672615051,156.1167755126953,2020-11-23,3549.321533203125,0,8.0,0.0,2020-11-23,2020-11-22,28.152782440185547,273.2189025878906,2020-11-24,0.0,0.0,2020-11-23,0.3750832974910736,8.0,"{""type"":""Point"",""coordinates"":[94.22598965068998,29.260877183178316]}"
12,10,0.7629929184913635,231.66160583496094,2023-11-30,280.2014465332031,0,1.0,0.0,2023-11-30,2023-11-29,9.14736270904541,292.9849548339844,2023-12-01,0.0,0.0,2023-11-30,0.4134623110294342,1.0,"{""type"":""Point"",""coordinates"":[93.27625296503646,25.80105759605372]}"
13,30,0.13439016044139862,203.3102264404297,2022-11-23,4554.19287109375,0,2.0,0.09999999403953552,2022-11-23,2022-11-22,38.95302200317383,273.3804931640625,2022-11-24,2.2899999618530273,2.0833332538604736,2022-11-23,0.32244744896888733,2.0,"{""type"":""Point"",""coordinates"":[92.70302588451858,28.42537652663875]}"
14,60,0.015056094154715538,286.5979919433594,2019-04-29,5072.125,0,7.0,2.859999895095825,2019-04-29,2019-04-28,28.817100524902344,279.81732177734375,2019-04-30,0.17999999225139618,0.0,2019-04-29,0.28498587012290955,1.0,"{""type"":""Point"",""coordinates"":[92.35492829570893,28.34006501859617]}"
15,80,-0.11996325105428696,-0.0,2022-01-06,0.0,0,0.0,0.0,2022-01-06,2022-01-05,0.0,0.0,2022-01-07,0.0,0.0,2022-01-06,0.0,0.0,"{""type"":""Point"",""coordinates"":[88.67643788605788,21.725603382428027]}"
16,100,0.02689441666007042,99.00146484375,2021-10-30,4237.3681640625,0,1.0,0.7899999618530273,2021-10-30,2021-10-29,43.69685745239258,275.83538818359375,2021-10-31,1.4399999380111694,4.166666507720947,2021-10-30,0.37355613708496094,1.0,"{""type"":""Point"",""coordinates"":[97.04572964447074,29.02295600976051]}"
17,40,0.09445146471261978,91.50577545166016,2019-07-10,62.85348892211914,0,1.0,73.70999908447266,2019-07-10,2019-07-09,1.4951367378234863,300.51434326171875,2019-07-11,78.23999786376953,58.33333206176758,2019-07-10,0.508621871471405,1.0,"{""type"":""Point"",""coordinates"":[92.76981686286805,26.332255949600736]}"
18,10,0.10941094905138016,46.03337860107422,2022-02-27,1391.9312744140625,0,1.0,0.0,2022-02-27,2022-02-26,30.682880401611328,284.5971984863281,2022-02-28,0.6499999761581421,0.0,2022-02-27,0.46689796447753906,1.0,"{""type"":""Point"",""coordinates"":[93.71045046194683,27.336287774975972]}"
19,10,0.06653086096048355,146.92762756347656,2021-07-22,240.78912353515625,0,67.0,2426.070068359375,2021-07-22,2021-07-21,1.3570029735565186,299.8846740722656,2021-07-23,89.31999969482422,37.5,2021-07-22,0.47277069091796875,67.0,"{""type"":""Point"",""coordinates"":[96.30118017514546,24.746793423733767]}"
20,10,0.023290816694498062,138.557861328125,2021-08-19,1068.56591796875,0,2.0,63.3599967956543,2021-08-19,2021-08-18,21.919626235961914,295.8569641113281,2021-08-20,44.93000030517578,47.91666793823242,2021-08-19,0.47952207922935486,1.0,"{""type"":""Point"",""coordinates"":[96.28434606760105,27.43344877848454]}"
21,40,0.5708622336387634,245.14013671875,2019-12-03,129.9685821533203,0,5.0,0.0,2019-12-03,2019-12-02,1.5261706113815308,295.39642333984375,2019-12-04,0.0,0.0,2019-12-03,0.3111076354980469,5.0,"{""type"":""Point"",""coordinates"":[96.06085345010845,22.642215681954077]}"
22,60,-0.00962468795478344,90.0,2019-12-05,15.0,0,1.0,0.0,2019-12-05,2019-12-04,3.529118061065674,294.3762512207031,2019-12-06,0.0,0.0,2019-12-05,0.19276683032512665,1.0,"{""type"":""Point"",""coordinates"":[88.06879257050461,24.057068836323825]}"
23,40,0.10107463598251343,270.0,2020-10-12,770.5,0,2.0,5.329999923706055,2020-10-12,2020-10-11,0.17342624068260193,297.9031982421875,2020-10-13,2.5899999141693115,2.0833332538604736,2020-10-12,0.3967825472354889,1.0,"{""type"":""Point"",""coordinates"":[93.92064220268999,24.53246232532908]}"
24,10,0.44462859630584717,136.43443298339844,2021-11-26,180.41053771972656,0,73.0,0.0,2021-11-26,2021-11-25,10.707174301147461,293.2663879394531,2021-11-27,0.0,0.0,2021-11-26,0.31677117943763733,73.0,"{""type"":""Point"",""coordinates"":[96.8883868349696,25.060798398881968]}"
25,40,0.35166093707084656,119.69178771972656,2020-02-23,3.384145736694336,0,1.0,0.0,2020-02-23,2020-02-22,1.610591173171997,298.1514587402344,2020-02-24,0.0,0.0,2020-02-23,0.14332707226276398,1.0,"{""type"":""Point"",""coordinates"":[90.26070803776645,23.488385999861116]}"
26,10,0.018506886437535286,301.3957824707031,2021-08-15,856.9758911132812,0,13.0,58.869998931884766,2021-08-15,2021-08-14,23.95952606201172,296.4308776855469,2021-08-16,158.14999389648438,60.41666793823242,2021-08-15,0.42426809668540955,7.0,"{""type"":""Point"",""coordinates"":[94.60444335050575,24.955784500703597]}"
27,10,0.45853275060653687,235.82618713378906,2022-04-24,985.5142822265625,0,208.0,0.0,2022-04-24,2022-04-23,29.091537475585938,293.6103515625,2022-04-25,0.0,0.0,2022-04-24,0.2669302523136139,208.0,"{""type"":""Point"",""coordinates"":[93.3643235419687,23.440099793401632]}"
28,10,0.11792819947004318,199.650146484375,2020-08-25,12.584236145019531,0,10.0,26.759998321533203,2020-08-25,2020-08-24,4.296313762664795,302.145751953125,2020-08-26,2.9700000286102295,4.166666507720947,2020-08-25,0.4090862274169922,6.0,"{""type"":""Point"",""coordinates"":[88.94654460028757,23.271510169434848]}"
29,40,0.08779319375753403,214.5661163330078,2023-10-02,45.72869110107422,0,116.0,0.0,2023-10-02,2023-10-01,0.30821937322616577,302.1374816894531,2023-10-03,31.420000076293945,14.583333015441895,2023-10-02,0.4575481414794922,116.0,"{""type"":""Point"",""coordinates"":[91.36078847084862,26.40250057562276]}"
30,80,-0.22303995490074158,-0.0,2020-04-09,0.0,0,0.0,0.0,2020-04-09,2020-04-08,0.0,0.0,2020-04-10,0.0,0.0,2020-04-09,0.0,0.0,"{""type"":""Point"",""coordinates"":[89.13580552947667,21.549714055634855]}"
31,50,0.2013133317232132,300.3512878417969,2022-11-15,2.9521868228912354,0,13.0,5.460000038146973,2022-11-15,2022-11-14,0.3290242552757263,295.3278503417969,2022-11-16,0.0,0.0,2022-11-15,0.2288563996553421,13.0,"{""type"":""Point"",""coordinates"":[88.48126746493189,22.569929287456617]}"
32,40,0.514178991317749,113.35480499267578,2019-12-10,155.6251220703125,0,443.0,0.0,2019-12-10,2019-12-09,1.5784751176834106,290.8802490234375,2019-12-11,0.0,0.0,2019-12-10,0.4059791564941406,443.0,"{""type"":""Point"",""coordinates"":[94.13530845590596,22.53862181027275]}"
33,10,0.3696945607662201,171.54733276367188,2022-01-13,1127.0469970703125,0,1.0,10.130000114440918,2022-01-13,2022-01-12,30.211181640625,285.67462158203125,2022-01-14,1.5,2.0833332538604736,2022-01-13,0.22294235229492188,1.0,"{""type"":""Point"",""coordinates"":[93.78756143319926,25.105191067101362]}"
34,10,0.24245253205299377,88.39936065673828,2023-12-03,2691.8134765625,0,1.0,0.35999998450279236,2023-12-03,2023-12-02,46.615135192871094,280.33203125,2023-12-04,0.14000000059604645,0.0,2023-12-03,0.3306490480899811,1.0,"{""type"":""Point"",""coordinates"":[95.60211400865914,28.598775015741406]}"
35,40,0.11669415980577469,131.42880249023438,2020-02-03,1.579261302947998,0,2.0,0.0,2020-02-03,2020-02-02,0.4457577168941498,292.64581298828125,2020-02-04,0.0,0.0,2020-02-03,0.3495089113712311,2.0,"{""type"":""Point"",""coordinates"":[88.46984205497401,22.285295622932182]}"
36,80,-0.08020911365747452,-0.0,2023-05-08,0.0,0,0.0,0.0,2023-05-08,2023-05-07,0.0,306.9246520996094,2023-05-09,0.0,0.0,2023-05-08,0.17228634655475616,0.0,"{""type"":""Point"",""coordinates"":[89.52328772888444,22.047827682126428]}"
37,60,0.052012741565704346,156.11856079101562,2019-08-18,4479.60595703125,0,1.0,7.539999961853027,2019-08-18,2019-08-17,39.42257308959961,287.8751220703125,2019-08-19,0.41999998688697815,0.0,2019-08-18,0.42110762000083923,1.0,"{""type"":""Point"",""coordinates"":[88.27393229545454,29.018200029022985]}"
38,10,0.6731407046318054,163.72706604003906,2020-03-10,264.0865478515625,0,141.0,265.0799865722656,2020-03-10,2020-03-09,8.586665153503418,289.90203857421875,2020-03-11,0.0,0.0,2020-03-10,0.35838571190834045,141.0,"{""type"":""Point"",""coordinates"":[96.66612299192799,26.760031903853584]}"
39,10,0.41638633608818054,345.77606201171875,2019-04-14,1751.8480224609375,0,1.0,0.0,2019-04-14,2019-04-13,22.167213439941406,293.93145751953125,2019-04-15,0.0,0.0,2019-04-14,0.2011464387178421,1.0,"{""type"":""Point"",""coordinates"":[93.37466859545283,22.559078652769806]}"
40,40,0.17062556743621826,140.6953887939453,2020-03-03,5.339130401611328,0,2.0,0.0,2020-03-03,2020-03-02,0.41683879494667053,298.4383239746094,2020-03-04,7.899999618530273,14.583333015441895,2020-03-03,0.16651661694049835,2.0,"{""type"":""Point"",""coordinates"":[90.89451935612182,24.492568534394042]}"
41,10,0.04752279072999954,349.9664001464844,2022-05-13,1776.7086181640625,0,11.0,1150.929931640625,2022-05-13,2022-05-12,3.096433401107788,291.9414367675781,2022-05-14,24.100000381469727,20.83333396911621,2022-05-13,0.4713408052921295,11.0,"{""type"":""Point"",""coordinates"":[94.17884999407826,25.273832815279842]}"
42,10,0.25478190183639526,250.2749786376953,2021-04-22,254.96627807617188,0,36.0,51.47999954223633,2021-04-22,2021-04-21,1.8739522695541382,298.5517883300781,2021-04-23,0.0,0.0,2021-04-22,0.3105316162109375,36.0,"{""type"":""Point"",""coordinates"":[96.68679994025848,26.691943752142286]}"
43,10,0.6920403242111206,282.3744201660156,2022-03-14,1417.2972412109375,0,3.0,0.0,2022-03-14,2022-03-13,34.427215576171875,294.7877502441406,2022-03-15,0.0,0.0,2022-03-14,0.12212435156106949,3.0,"{""type"":""Point"",""coordinates"":[93.82402975419551,21.680918635029418]}"
44,10,0.08211306482553482,349.0488586425781,2023-02-08,3518.760498046875,0,3.0,0.0,2023-02-08,2023-02-07,32.412025451660156,272.76873779296875,2023-02-09,0.0,0.0,2023-02-08,0.34339332580566406,3.0,"{""type"":""Point"",""coordinates"":[93.00202272778213,28.40187920366651]}"
45,40,0.07512342929840088,275.92236328125,2019-10-23,39.65196990966797,0,1.0,0.0,2019-10-23,2019-10-22,1.6796725988388062,299.2484436035156,2019-10-24,6.539999485015869,6.25,2019-10-23,0.3378041684627533,1.0,"{""type"":""Point"",""coordinates"":[90.74486939052387,26.349623173375463]}"
46,10,0.7181487679481506,50.75595474243164,2021-04-13,653.9113159179688,0,3.0,0.0,2021-04-13,2021-04-12,31.623933792114258,297.91656494140625,2021-04-14,62.20000076293945,16.66666603088379,2021-04-13,0.23992983996868134,2.0,"{""type"":""Point"",""coordinates"":[93.04824256372555,23.958068385516516]}"
47,10,0.08371478319168091,98.67488861083984,2021-08-21,469.5140075683594,0,75.0,51.14999771118164,2021-08-21,2021-08-20,6.505023002624512,296.29083251953125,2021-08-22,0.0,0.0,2021-08-21,0.47312483191490173,3.0,"{""type"":""Point"",""coordinates"":[97.16731643611219,22.191613293144783]}"
48,30,0.07834400236606598,129.9176483154297,2023-09-07,4542.37060546875,0,1.0,0.03999999910593033,2023-09-07,2023-09-06,20.4293155670166,285.759033203125,2023-09-08,0.25,0.0,2023-09-07,0.3486824035644531,1.0,"{""type"":""Point"",""coordinates"":[88.17223414923123,29.445589832801367]}"
49,30,0.27318161725997925,327.00946044921875,2023-02-05,496.238525390625,0,1.0,0.0,2023-02-05,2023-02-04,3.8631434440612793,297.3829345703125,2023-02-06,0.0,0.0,2023-02-05,0.2209351807832718,1.0,"{""type"":""Point"",""coordinates"":[96.2974098142648,21.875699656166486]}"
50,10,0.012386390939354897,304.7178649902344,2023-07-19,761.1348266601562,0,198.0,0.0,2023-07-19,2023-07-18,20.843772888183594,298.0630798339844,2023-07-20,1.2300000190734863,0.0,2023-07-19,0.39957746863365173,198.0,"{""type"":""Point"",""coordinates"":[94.70781598120479,28.003958698904505]}"
51,100,-0.040840670466423035,12.76112174987793,2022-01-22,4513.4208984375,0,65.0,0.0,2022-01-22,2022-01-21,9.331684112548828,268.93829345703125,2022-01-23,0.0,0.0,2022-01-22,0.3384895324707031,65.0,"{""type"":""Point"",""coordinates"":[91.95879861133051,27.90970610316766]}"
52,10,0.12235458195209503,97.34549713134766,2022-11-17,2656.5478515625,0,4.0,0.5999999642372131,2022-11-17,2022-11-16,37.270320892333984,274.5605773925781,2022-11-18,1.5999999046325684,0.0,2022-11-17,0.3562602996826172,3.0,"{""type"":""Point"",""coordinates"":[92.18076699886161,27.462845262971165]}"
53,40,0.3744959533214569,159.10140991210938,2021-11-18,650.4437866210938,0,1.0,0.0,2021-11-18,2021-11-17,6.416751384735107,294.88934326171875,2021-11-19,0.0,0.0,2021-11-18,0.4305839538574219,1.0,"{""type"":""Point"",""coordinates"":[97.44797666207668,22.04257647268591]}"
54,30,0.031207555904984474,200.59518432617188,2019-05-31,1530.0933837890625,0,4.0,184.51998901367188,2019-05-31,2019-05-30,21.932218551635742,295.29180908203125,2019-06-01,6.659999847412109,8.333333015441895,2019-05-31,0.48846182227134705,4.0,"{""type"":""Point"",""coordinates"":[91.50601058098616,25.35082591126366]}"
55,100,-0.016513150185346603,11.719618797302246,2021-02-28,5088.60107421875,0,1.0,0.0,2021-02-28,2021-02-27,23.278841018676758,270.6593933105469,2021-03-01,0.0,0.0,2021-02-28,0.39870262145996094,1.0,"{""type"":""Point"",""coordinates"":[93.36561711568181,29.286120923872804]}"
56,10,0.060501959174871445,61.296939849853516,2019-09-20,963.7478637695312,0,4.0,48.459999084472656,2019-09-20,2019-09-19,30.233497619628906,296.8080139160156,2019-09-21,16.149999618530273,27.08333396911621,2019-09-20,0.4804789125919342,1.0,"{""type"":""Point"",""coordinates"":[97.0243730172111,23.201373392804427]}"
